site,easting,northing,elevation,temp_winter_mean,temp_spring_mean,temp_winter_var,temp_spring_var,precip_winter_mean,precip_spring_mean,precip_winter_var,precip_spring_var,HMM_all,HMM_HC
GC,370581,3954505,860,8.481333333333334,15.245333333333333,0.9970123809523811,1.0205980952380953,136.543125,102.90312499999999,11647.483222916666,7889.090489583334,0.34819293647723776,0.3323001398808022
GRW,363270,3940141,750,8.610000000000001,15.720666666666665,1.6134857142857142,1.0836495238095236,148.434375,110.741875,13852.54486625,3572.300669583333,0.012603273885083437,0.0014633902491380422
SAW,366666,3949182,945,8.148,14.806000000000001,1.4166599999999998,2.1006542857142865,151.68687500000004,103.85374999999999,17431.629169583335,4221.3917716666665,0.15191770899563062,0.04908695403697899
S7,362540,3939354,785,8.076,15.412,2.1096971428571427,1.1653599999999997,141.88,109.99312499999998,11469.674599999997,3296.3499695833325,0.014184405625280502,0.00927405977157971
S22,369076,3966924,920,7.494,14.720666666666666,2.0038685714285718,0.9836352380952382,155.639375,129.04125,14498.530232916668,7295.454345000001,0.2545168507971466,0.10693837611846016
SM,371667,3940731,1130,7.072666666666667,14.125333333333334,1.484135238095238,1.1098695238095235,133.1025,101.205,12117.140859999998,4048.858386666667,0.06449833858631523,0.017059692906373315
